episode,timestep,reward
1,224,4.0
4,672,7.0
5,896,3.0
8,1344,3.3333
9,1568,6.0
11,1792,6.0
12,2016,3.0
15,2464,8.6667
16,2688,5.0
19,3136,9.0
22,3584,5.3333
23,3808,10.0
26,4256,5.0
27,4480,8.0
29,4704,6.0
30,4928,4.0
33,5376,5.0
34,5600,6.0
37,6048,4.0
40,6496,6.0
41,6720,9.0
44,7168,4.6667
45,7392,6.0
47,7616,4.5
48,7840,10.0
51,8288,6.6667
52,8512,7.0
55,8960,4.3333
56,9184,7.0
58,9408,7.0
59,9632,8.0
62,10080,5.6667
63,10304,6.0
66,10752,6.3333
69,11200,6.6667
70,11424,4.0
73,11872,5.6667
74,12096,8.0
76,12320,7.5
77,12544,6.0
80,12992,7.6667
81,13216,9.0
84,13664,6.0
87,14112,4.3333
88,14336,8.0
91,14784,7.3333
92,15008,10.0
94,15232,6.5
95,15456,9.0
98,15904,6.0
99,16128,6.0
102,16576,6.6667
105,17024,10.0
106,17248,7.0
109,17696,9.0
110,17920,5.0
113,18368,5.6667
116,18816,5.0
117,19040,4.0
120,19488,7.0
121,19712,9.0
123,19936,9.5
124,20160,6.0
127,20608,7.3333
128,20832,4.0
131,21280,5.3333
134,21728,7.6667
135,21952,6.0
138,22400,7.3333
139,22624,7.0
141,22848,5.0
142,23072,8.0
145,23520,6.6667
146,23744,4.0
149,24192,4.3333
152,24640,8.0
153,24864,7.0
156,25312,6.6667
157,25536,6.0
159,25760,6.0
160,25984,7.0
163,26432,7.6667
164,26656,7.0
167,27104,6.0
168,27328,5.0
170,27552,9.5
171,27776,10.0
174,28224,9.6667
175,28448,11.0
178,28896,7.3333
181,29344,7.6667
182,29568,8.0
185,30016,6.0
186,30240,4.0
188,30464,6.5
189,30688,4.0
192,31136,5.6667
193,31360,6.0
196,31808,7.3333
199,32256,6.3333
200,32480,7.0
203,32928,7.3333
204,33152,8.0
206,33376,7.5
207,33600,8.0
210,34048,7.3333
211,34272,8.0
214,34720,7.0
217,35168,7.6667
218,35392,4.0
221,35840,7.3333
222,36064,6.0
225,36512,8.6667
228,36960,8.3333
229,37184,6.0
232,37632,8.3333
233,37856,5.0
235,38080,7.5
236,38304,7.0
239,38752,9.6667
240,38976,6.0
243,39424,6.0
246,39872,8.6667
247,40096,8.0
250,40544,8.0
251,40768,8.0
253,40992,9.5
254,41216,8.0
257,41664,6.6667
258,41888,5.0
261,42336,5.3333
264,42784,8.0
265,43008,10.0
268,43456,7.3333
269,43680,8.0
271,43904,4.5
272,44128,10.0
275,44576,8.0
276,44800,10.0
279,45248,6.6667
280,45472,7.0
282,45696,9.5
283,45920,7.0
286,46368,7.6667
287,46592,6.0
290,47040,8.6667
293,47488,10.6667
294,47712,13.0
297,48160,10.0
298,48384,8.0
300,48608,10.5
301,48832,10.0
304,49280,9.3333
305,49504,8.0
308,49952,8.6667
311,50400,10.6667
