episode,timestep,reward
1,224,10.0688
4,672,13.7549
5,896,16.105
8,1344,15.1021
9,1568,15.0982
11,1792,14.1065
12,2016,13.0961
15,2464,14.4355
16,2688,17.1119
19,3136,16.1075
22,3584,15.1017
23,3808,22.1441
26,4256,15.116
27,4480,18.1741
29,4704,20.6359
30,4928,19.1236
33,5376,18.4848
34,5600,22.1521
37,6048,23.8275
40,6496,25.5047
41,6720,25.1804
44,7168,29.1962
45,7392,30.1994
47,7616,26.1735
48,7840,28.1899
51,8288,30.2013
52,8512,31.2161
55,8960,30.5438
56,9184,27.1963
58,9408,32.2213
59,9632,29.1991
62,10080,34.9108
63,10304,35.2393
66,10752,38.5954
69,11200,36.2443
70,11424,38.2512
73,11872,34.2338
74,12096,36.2458
76,12320,36.7465
77,12544,38.272
80,12992,39.2665
81,13216,38.257
84,13664,36.9104
87,14112,44.6364
88,14336,44.3007
91,14784,46.3118
92,15008,43.2992
94,15232,48.3315
95,15456,48.3244
98,15904,47.3167
99,16128,47.3169
102,16576,49.0003
105,17024,47.3209
106,17248,52.3497
109,17696,49.3313
110,17920,46.3181
113,18368,50.0012
116,18816,50.3355
117,19040,50.3437
120,19488,50.3404
121,19712,49.3289
123,19936,51.3492
124,20160,53.3549
127,20608,52.0203
128,20832,49.3366
131,21280,50.3406
134,21728,51.0076
135,21952,51.3424
138,22400,51.0151
139,22624,47.3174
141,22848,49.3286
142,23072,47.3202
145,23520,46.9925
146,23744,47.3259
149,24192,44.9808
152,24640,44.2986
153,24864,39.2667
156,25312,41.954
157,25536,42.2756
159,25760,42.2894
160,25984,44.2997
163,26432,39.6069
164,26656,45.3058
167,27104,42.959
168,27328,49.3378
170,27552,43.7983
171,27776,45.3102
174,28224,46.321
175,28448,49.3228
178,28896,44.9717
181,29344,43.9616
182,29568,39.2604
185,30016,42.9618
186,30240,47.3314
188,30464,43.7941
189,30688,45.3081
192,31136,45.9743
193,31360,43.2954
196,31808,44.9707
199,32256,43.6216
200,32480,43.2865
203,32928,44.9753
204,33152,46.3063
206,33376,40.7744
207,33600,47.3213
210,34048,46.3155
211,34272,44.3038
214,34720,43.9677
217,35168,47.3172
218,35392,50.348
221,35840,50.008
222,36064,51.3421
225,36512,49.667
228,36960,48.9966
229,37184,51.351
232,37632,50.6777
233,37856,53.3593
235,38080,53.3594
236,38304,51.3484
239,38752,51.344
240,38976,52.3543
243,39424,51.6808
246,39872,52.3496
247,40096,51.3464
250,40544,51.6776
251,40768,54.3645
253,40992,51.8456
254,41216,52.3535
257,41664,52.3495
258,41888,53.3604
261,42336,53.6894
264,42784,52.6867
265,43008,51.3447
268,43456,52.6863
269,43680,54.365
