round,required_clients,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,20.0,6.0,190.89608593517013,768.9875339178418,1.0
2.0,20.0,13.0,199.51184365668874,798.4175481535365,1.0
3.0,20.0,10.0,214.66350181915493,815.4519945075624,1.0
4.0,20.0,9.0,220.68171190279304,772.3140031264122,1.0
5.0,20.0,10.0,205.04869910692034,785.1601939255711,1.0
6.0,20.0,4.0,214.51566576710766,822.177147385381,1.0
7.0,20.0,5.0,197.43326424632485,766.8839733950668,1.0
8.0,20.0,6.0,209.1505216348098,786.8750917525601,1.0
9.0,20.0,11.0,204.80587883496233,777.264868767601,1.0
10.0,20.0,8.0,214.2507507832332,815.6062466634648,1.0
