id,depart,duration,arrival,train,communication,alpha
0,0.00,159.0,159.00,177.85379095506434,29.724824384701893,5
1,10.00,281.0,291.00,171.11534346094254,26.28917489796779,10
10,100.00,303.0,403.00,201.35550258928842,37.54722541132711,10
11,110.00,377.0,487.00,158.59569993671926,22.533300208914667,10
12,120.00,285.0,405.00,179.11775184167158,30.074366580289176,10
13,130.00,271.0,401.00,202.3942392437792,26.50031307470863,10
14,140.00,851.0,991.00,167.40716181821975,31.31980154477896,10
15,150.00,438.0,588.00,164.60167851109367,29.471516031040828,5
16,160.00,245.0,405.00,166.42445221090438,28.17832844032844,10
17,170.00,40.0,210.00,202.50628207550102,29.511521391402876,10
18,180.00,237.0,417.00,201.52242075037546,26.29626264669177,10
19,190.00,111.0,301.00,223.23434746988517,30.74632545856167,10
2,20.00,128.0,148.00,163.14551892341424,30.365207110815682,3
20,200.00,49.0,249.00,203.3654627485601,37.05102315565607,5
21,210.00,88.0,298.00,210.70058258238365,37.313702237242026,5
22,220.00,202.0,422.00,181.03890791592278,25.46350817808379,5
23,230.00,103.0,333.00,183.1269793820796,28.26043925336924,5
24,240.00,145.0,385.00,156.5896910147369,36.313577418943595,5
25,250.00,319.0,569.00,187.2085453422804,30.158930758646918,10
26,260.00,351.0,611.00,180.00279223924278,32.06949988321279,3
27,270.00,175.0,445.00,217.91778352061166,37.441260968978,5
28,280.00,178.0,458.00,196.114291043019,24.254621594915257,3
29,290.00,139.0,429.00,210.87432860943795,25.47606920915682,10
3,30.00,87.0,117.00,186.05610439106164,35.613974594145645,10
30,300.00,211.0,511.00,158.40443802337842,30.278226710779204,10
32,320.00,45.0,365.00,165.12287834260337,30.593032926168068,10
33,330.00,261.0,591.00,156.39617968748166,26.694478840920752,10
34,340.00,142.0,482.00,175.01157347318164,39.02201983082119,10
35,350.00,286.0,636.00,156.87437063487818,34.44877154935843,10
36,360.00,199.0,559.00,177.79135082079443,36.12551730647785,10
37,371.00,162.0,533.00,140.18442359999514,25.179683205792088,10
38,382.00,122.0,504.00,165.71228780335133,28.721046547086505,10
39,390.00,606.0,996.00,171.80566165309074,22.433194813749544,5
4,40.00,219.0,259.00,193.0723719088072,17.235050920829607,5
40,400.00,45.0,445.00,198.15039234213677,29.100375820938247,10
41,410.00,51.0,461.00,160.19679714979344,34.86489956902657,3
42,420.00,124.0,544.00,161.66410389538916,30.57426939772261,10
43,430.00,246.0,676.00,179.62125163578057,25.86780730670493,10
44,440.00,540.0,980.00,184.64362072400553,30.782532689826876,10
45,450.00,343.0,793.00,141.98831477513397,29.583309182421402,10
46,460.00,116.0,576.00,181.7884457935171,29.8826023713272,10
47,470.00,270.0,740.00,202.6625405854467,23.18664436831463,10
48,480.00,227.0,707.00,195.2950046072147,37.66917827561634,10
49,490.00,307.0,797.00,169.05672399148384,26.99145700887967,5
5,50.00,377.0,427.00,199.99659386500377,30.644914553787054,10
51,510.00,213.0,723.00,164.45306688475765,21.481756447318247,5
52,520.00,147.0,667.00,214.26685443298732,29.658791973376843,10
54,540.00,143.0,683.00,185.31571444548857,30.328206405009038,5
55,550.00,91.0,641.00,162.45273356416124,32.884238503138654,10
56,560.00,255.0,815.00,135.63278486872173,32.43829714579055,10
57,570.00,240.0,810.00,216.89032980836922,28.33793103540645,10
58,580.00,219.0,799.00,157.912333211431,33.79466077605951,10
59,590.00,347.0,937.00,191.40161614771267,25.540525939236176,2
6,60.00,184.0,244.00,191.58280957413456,32.42156077060332,10
60,600.00,106.0,706.00,170.0393509861539,30.690214405934427,3
61,610.00,354.0,964.00,167.8515449545577,12.426159404490324,10
62,620.00,160.0,780.00,173.91440816558656,32.138482850479704,10
63,630.00,315.0,945.00,177.5555274762648,35.164578394725105,3
64,640.00,272.0,912.00,201.99319191774225,26.468775351053576,5
65,650.00,109.0,759.00,159.3151431643107,21.158260496066944,5
66,660.00,239.0,899.00,156.38098242467285,34.91210781500087,10
67,670.00,286.0,956.00,200.9517067483563,31.769425057376083,10
7,70.00,293.0,363.00,178.39325488475856,28.94023871823958,10
70,700.00,280.0,980.00,186.42561809586803,28.810391351319964,10
71,710.00,178.0,888.00,189.85518782831593,26.011000574312032,10
72,720.00,220.0,940.00,172.9550338815462,32.051447337164454,5
78,780.00,73.0,853.00,184.5570153258357,28.120861525091044,5
79,790.00,159.0,949.00,179.66645737497154,29.671334263354993,3
8,80.00,282.0,362.00,172.28273327113814,36.01189924392206,10
80,800.00,166.0,966.00,189.62962947546924,27.68202012676953,10
82,820.00,156.0,976.00,208.63680454767183,30.316309971001658,10
9,90.00,338.0,428.00,154.98227567885377,31.707936979720685,5
