id,depart,duration,arrival,train,communication,alpha,select_times,data_quality
0,0.00,297.0,297.00,178.39325488475856,28.94023871823958,10,1,0.6390066666666666
1,10.00,96.0,106.00,186.05610439106164,35.613974594145645,10,3,0.5731533333333333
10,100.00,402.0,502.00,154.53021229391246,26.267147755878174,10,1,0.5519866666666666
11,110.00,221.0,331.00,172.734659609633,29.779437960417894,10,2,0.5721733333333332
12,120.00,53.0,173.00,201.61623826110892,42.726003892355266,10,1,0.36466
13,130.00,120.0,250.00,172.02427653296127,29.429487340565714,10,2,0.36904
14,140.00,202.0,342.00,186.61068811277008,30.21060745171963,10,3,0.6326999999999999
15,150.00,129.0,279.00,158.28398809048744,27.152413680546285,5,4,0.5603066666666666
16,160.00,203.0,363.00,175.4626154550689,34.32374550568136,5,4,0.3963
17,170.00,179.0,349.00,198.50501503500664,32.15517074601702,10,1,0.37962666666666667
18,180.00,241.0,421.00,175.8174276527075,24.648924984179818,5,4,0.45899333333333336
19,190.00,138.0,328.00,179.4363554332269,27.710387897980485,10,2,0.37748666666666664
2,20.00,345.0,365.00,171.9364610605364,31.438973065531787,5,1,0.37434666666666666
20,200.00,71.0,271.00,207.90944540612128,24.60860998708455,3,4,0.4380333333333334
21,210.00,348.0,558.00,168.36654005825224,33.055518549328546,10,2,0.6350133333333333
22,220.00,122.0,342.00,171.59633220662545,28.87980610200178,5,3,0.5792933333333332
23,230.00,480.0,710.00,168.05367862069275,34.1915539181489,10,4,0.44744000000000006
24,240.00,306.0,546.00,203.94643961285522,32.06949988321279,3,2,0.6324799999999999
25,250.00,345.0,595.00,188.55393140191882,39.68327936547057,10,3,0.62664
27,270.00,134.0,404.00,216.08807932328477,40.362867673263,10,4,0.39914666666666665
26,272.00,231.0,503.00,208.89671420036183,20.2964216198921,10,3,0.5699066666666666
28,280.00,248.0,528.00,206.87908839169864,27.89567589788856,10,3,0.623
29,290.00,270.0,560.00,178.91070312437492,22.219881611523462,10,4,0.4897333333333333
3,30.00,278.0,308.00,172.66952118093786,28.46317594808996,5,1,0.38908
30,300.00,370.0,670.00,171.79900613594904,25.277768720408748,10,2,0.44438000000000005
31,310.00,252.0,562.00,183.90998670550655,26.844123911260798,10,1,0.3661933333333333
32,320.00,247.0,567.00,216.19635376256167,28.71436130978832,5,1,0.60804
33,330.00,223.0,553.00,225.68666708940688,33.571119101898375,3,2,0.5199533333333333
34,340.00,245.0,585.00,176.261564017956,34.83095201547201,10,1,0.5488799999999999
36,360.00,208.0,568.00,152.74657747325853,29.51711936279279,5,1,0.3786333333333333
37,370.00,118.0,488.00,213.2452468777572,18.30976924521376,10,1,0.5481533333333333
38,380.00,260.0,640.00,153.16841692102534,30.26112502275208,5,1,0.6339733333333333
39,390.00,297.0,687.00,160.88109999014446,31.895758677775408,10,3,0.4462066666666667
4,40.00,264.0,304.00,175.48120688617144,30.593032926168068,10,2,0.5624466666666665
40,400.00,200.0,600.00,152.50097413163962,28.23003044373258,10,4,0.5508533333333333
42,420.00,387.0,807.00,200.49386595747654,27.72562825302529,10,3,0.5052466666666666
43,430.00,317.0,747.00,188.525174615562,33.90599050854997,5,1,0.45148000000000005
44,440.00,286.0,726.00,188.3210009252285,27.28569261991641,10,3,0.54958
45,450.00,299.0,749.00,180.74466087771813,35.62002726543867,5,4,0.5598333333333333
46,460.00,191.0,651.00,190.43975459210796,31.934564191711605,5,2,0.4497333333333334
47,470.00,138.0,608.00,189.7531885831622,27.886120283923063,10,1,0.5048333333333334
48,480.00,55.0,535.00,156.39617968748166,26.694478840920752,10,1,0.4390466666666667
49,490.00,502.0,992.00,157.43977337059985,28.661332315530167,10,1,0.6099
5,50.00,111.0,161.00,174.17212047977134,30.365207110815682,10,3,0.6087
50,500.00,247.0,747.00,162.52005535632063,14.974359190921183,10,1,0.39294666666666667
51,510.00,393.0,903.00,191.16283121085007,30.998091771807168,5,2,0.49682666666666664
52,520.00,230.0,750.00,197.5107837769029,32.28618353346493,10,3,0.5787266666666666
54,540.00,284.0,824.00,183.27465478519713,25.77050560135939,10,4,0.6284933333333333
55,550.00,57.0,607.00,156.28161635325614,18.882984238877867,5,4,0.44594000000000006
56,560.00,324.0,884.00,188.56442286169096,37.241645437296704,10,2,0.5527
57,570.00,58.0,628.00,166.48200137229063,31.139253831458923,10,2,0.4360333333333334
58,580.00,264.0,844.00,158.79968354556905,41.51958348841971,10,4,0.5752666666666666
