round,longest_depart_time,scheduled_clients,average_waiting_time,wall_time,surplus
1.0,880.0,18.0,114.6111152839762,999.8021913948037,2.0
2.0,800.0,17.0,139.39563928350972,997.5790120783591,2.0
3.0,740.0,22.0,128.13088491569656,999.2718556772758,2.0
4.0,840.0,23.0,148.97008729911443,998.3803341977911,2.0
5.0,780.0,15.0,127.26685420498536,998.8408176793612,2.0
6.0,780.0,15.0,127.26685420498536,998.8408176793612,2.0
7.0,800.0,22.0,130.9753530108701,998.9572855798215,2.0
8.0,940.0,20.0,109.12490621940161,996.2101454056868,2.0
9.0,840.0,18.0,136.88489780704614,997.1997653488721,2.0
10.0,840.0,18.0,102.79587031119692,996.5976631197382,2.0
